//RecordNum;DateTime(UTC);P4_mb;P1_mb;T1_C;RH1;T_CS215;RH_CS215;Vbat;N1Cts;N2Cts;N1T_C;N1RH;N2T_C;N2RH
2;10-07-2016 14:46:00;855.71;856;28;15.5;-99;-99;13.581;3387;1722;29.8;1.1;30.3;0.3
3;10-07-2016 15:46:00;855.79;856;27.8;12.6;-99;-99;13.584;3977;1914;30.6;1;31.1;0.2
4;10-07-2016 16:46:00;855.84;855.9;27;11.1;-99;-99;13.639;3939;1973;30.5;1;30.9;0.2
5;10-07-2016 17:46:00;855.81;855.9;25.2;10.3;-99;-99;12.986;4022;1895;28.9;1;29.2;0.1
6;10-07-2016 18:46:00;856.06;856.1;22.3;9.9;-99;-99;12.747;4047;1947;26.5;0.9;25.9;0.1
7;10-07-2016 19:46:00;856.32;856.4;19.5;9.5;-99;-99;12.705;3853;1980;23.7;0.9;22.5;0
8;10-07-2016 20:46:00;856.7;856.8;17.5;9.3;-99;-99;12.676;3904;1933;21.2;0.8;19.8;0
9;10-07-2016 21:46:00;856.78;857.1;16.1;9.2;-99;-99;12.651;3981;1976;19.4;0.7;18;0
10;10-07-2016 22:46:00;856.65;857;15.2;9.1;-99;-99;12.63;3872;1993;18;0.7;16.8;0
11;10-07-2016 23:46:00;856.66;856.9;14.2;9.1;-99;-99;12.612;3951;1983;16.9;0.7;15.9;0
12;10-08-2016 00:46:00;856.46;856.7;13.1;9.1;-99;-99;12.596;3999;1969;16;0.6;15.1;0
13;10-08-2016 01:46:00;856.12;856.5;12.4;9.2;-99;-99;12.581;3860;1963;15.2;0.6;14.4;0
14;10-08-2016 02:46:00;856.14;856.5;11.7;9.2;-99;-99;12.568;3913;2017;14.5;0.6;13.8;0
15;10-08-2016 03:46:00;856.28;856.6;11.2;9.2;-99;-99;12.556;3886;1974;14;0.5;13.4;0
16;10-08-2016 04:46:00;856.12;856.6;10.7;9.3;-99;-99;12.545;4026;1995;13.6;0.5;13;0
17;10-08-2016 05:46:00;856.39;856.8;10.2;9.3;-99;-99;12.536;3960;1956;13.4;0.5;12.8;0
18;10-08-2016 06:46:00;856.15;856.8;9.7;9.3;-99;-99;12.527;4052;1914;12.9;0.5;12.4;0
19;10-08-2016 07:46:00;855.95;856.4;10.4;9.4;-99;-99;13.234;3964;1919;13.2;0.5;12.7;0
20;10-08-2016 08:46:00;856.34;856.7;14.2;9;-99;-99;14.419;4102;1943;15.8;0.5;15.7;0
21;10-08-2016 09:46:00;856.58;856.8;17.7;8.5;-99;-99;14.291;4059;1886;19.3;0.6;19.8;0
22;10-08-2016 10:46:00;856.42;856.5;20.3;8;-99;-99;13.822;4124;1937;22.9;0.7;23.8;0
23;10-08-2016 11:46:00;856.23;856.3;21.9;7.8;-99;-99;13.77;3868;1895;25.8;0.7;26.6;0
24;10-08-2016 12:46:00;855.73;856;23.7;7.6;-99;-99;13.699;3991;1936;28.4;0.8;29.2;0.1
25;10-08-2016 13:46:00;855.72;855.7;25.5;7.4;-99;-99;13.675;4084;2017;30.5;0.9;31.2;0.1
;10-08-2016 14:46:00;;;;;;;;;;;;;
;10-08-2016 15:46:00;;;;;;;;;;;;;
;10-08-2016 16:46:00;;;;;;;;;;;;;
;10-08-2016 17:46:00;;;;;;;;;;;;;
;10-08-2016 18:46:00;;;;;;;;;;;;;
;10-08-2016 19:46:00;;;;;;;;;;;;;
;10-08-2016 20:46:00;;;;;;;;;;;;;
;10-08-2016 21:46:00;;;;;;;;;;;;;
;10-08-2016 22:46:00;;;;;;;;;;;;;
;10-08-2016 23:46:00;;;;;;;;;;;;;
;10-09-2016 00:46:00;;;;;;;;;;;;;
;10-09-2016 01:46:00;;;;;;;;;;;;;
;10-09-2016 02:46:00;;;;;;;;;;;;;
;10-09-2016 03:46:00;;;;;;;;;;;;;
;10-09-2016 04:46:00;;;;;;;;;;;;;
;10-09-2016 05:46:00;;;;;;;;;;;;;
;10-09-2016 06:46:00;;;;;;;;;;;;;
;10-09-2016 07:46:00;;;;;;;;;;;;;
;10-09-2016 08:46:00;;;;;;;;;;;;;
;10-09-2016 09:46:00;;;;;;;;;;;;;
;10-09-2016 10:46:00;;;;;;;;;;;;;
;10-09-2016 11:46:00;;;;;;;;;;;;;
;10-09-2016 12:46:00;;;;;;;;;;;;;
;10-09-2016 13:46:00;;;;;;;;;;;;;
;10-09-2016 14:46:00;;;;;;;;;;;;;
;10-09-2016 15:46:00;;;;;;;;;;;;;
;10-09-2016 16:46:00;;;;;;;;;;;;;
;10-09-2016 17:46:00;;;;;;;;;;;;;
;10-09-2016 18:46:00;;;;;;;;;;;;;
;10-09-2016 19:46:00;;;;;;;;;;;;;
;10-09-2016 20:46:00;;;;;;;;;;;;;
;10-09-2016 21:46:00;;;;;;;;;;;;;
;10-09-2016 22:46:00;;;;;;;;;;;;;
;10-09-2016 23:46:00;;;;;;;;;;;;;
;10-10-2016 00:46:00;;;;;;;;;;;;;
;10-10-2016 01:46:00;;;;;;;;;;;;;
;10-10-2016 02:46:00;;;;;;;;;;;;;
;10-10-2016 03:46:00;;;;;;;;;;;;;
;10-10-2016 04:46:00;;;;;;;;;;;;;
;10-10-2016 05:46:00;;;;;;;;;;;;;
;10-10-2016 06:46:00;;;;;;;;;;;;;
;10-10-2016 07:46:00;;;;;;;;;;;;;
;10-10-2016 08:46:00;;;;;;;;;;;;;
;10-10-2016 09:46:00;;;;;;;;;;;;;
;10-10-2016 10:46:00;;;;;;;;;;;;;
;10-10-2016 11:46:00;;;;;;;;;;;;;
;10-10-2016 12:46:00;;;;;;;;;;;;;
;10-10-2016 13:46:00;;;;;;;;;;;;;
74;10-10-2016 14:46:00;856.26;856.6;24.4;6.6;-99;-99;13.699;3910;1952;29.7;0.7;30.1;0
75;10-10-2016 15:46:00;856.07;856.3;25;6.4;-99;-99;13.668;3952;1978;30.1;0.8;30.5;0.1
76;10-10-2016 16:46:00;855.95;856.3;24;6.4;-99;-99;13.729;3989;2001;29.5;0.7;29.8;0
77;10-10-2016 17:46:00;856.28;856.4;22.3;6.5;-99;-99;13.567;4045;1942;27.6;0.8;27.5;0
78;10-10-2016 18:46:00;856.28;856.4;19.8;6.7;-99;-99;12.752;3897;1957;25.2;0.7;24.5;0
79;10-10-2016 19:46:00;856.66;856.9;17.5;6.7;-99;-99;12.72;4026;2003;22.6;0.6;21.5;0
80;10-10-2016 20:46:00;856.66;857.1;15.8;6.8;-99;-99;12.695;4082;2002;20.3;0.6;19;0
81;10-10-2016 21:46:00;856.58;857;14.5;6.9;-99;-99;12.672;4064;1928;18.4;0.6;17.2;0
82;10-10-2016 22:46:00;856.5;856.9;13.5;7;-99;-99;12.648;4025;1973;16.9;0.5;15.9;0
83;10-10-2016 23:46:00;856.41;856.9;12.7;7.1;-99;-99;12.625;4100;1930;15.9;0.4;14.9;0
84;10-11-2016 00:46:00;856.29;856.8;12.3;7.1;-99;-99;12.602;3926;1938;15.2;0.4;14.5;0
85;10-11-2016 01:46:00;856.21;856.8;11.7;7;-99;-99;12.582;4050;1950;14.7;0.4;14.1;0
86;10-11-2016 02:46:00;855.93;856.4;11.4;7;-99;-99;12.565;4133;1905;14.4;0.4;13.8;0
87;10-11-2016 03:46:00;855.79;856.3;11;7;-99;-99;12.551;4162;1879;14.1;0.3;13.6;0
88;10-11-2016 04:46:00;855.65;856.2;10.6;6.9;-99;-99;12.539;4066;1950;13.8;0.3;13.3;0
