DateTime(UTC),CRNP
2016-10-07 14:46:00,
2016-10-07 15:46:00,
2016-10-07 16:46:00,
2016-10-07 17:46:00,
2016-10-07 18:46:00,
2016-10-07 19:46:00,
2016-10-07 20:46:00,
2016-10-07 21:46:00,
2016-10-07 22:46:00,
2016-10-07 23:46:00,
2016-10-08 00:46:00,
2016-10-08 01:46:00,
2016-10-08 02:46:00,
2016-10-08 03:46:00,
2016-10-08 04:46:00,
2016-10-08 05:46:00,
2016-10-08 06:46:00,
2016-10-08 07:46:00,
2016-10-08 08:46:00,
2016-10-08 09:46:00,
2016-10-08 10:46:00,
2016-10-08 11:46:00,
2016-10-08 12:46:00,
2016-10-08 13:46:00,
2016-10-08 14:46:00,
2016-10-08 15:46:00,
2016-10-08 16:46:00,
2016-10-08 17:46:00,
2016-10-08 18:46:00,
2016-10-08 19:46:00,
2016-10-08 20:46:00,
2016-10-08 21:46:00,
2016-10-08 22:46:00,
2016-10-08 23:46:00,
2016-10-09 00:46:00,
2016-10-09 01:46:00,
2016-10-09 02:46:00,
2016-10-09 03:46:00,
2016-10-09 04:46:00,
2016-10-09 05:46:00,
2016-10-09 06:46:00,
2016-10-09 07:46:00,
2016-10-09 08:46:00,
2016-10-09 09:46:00,
2016-10-09 10:46:00,
2016-10-09 11:46:00,
2016-10-09 12:46:00,
2016-10-09 13:46:00,
2016-10-09 14:46:00,
2016-10-09 15:46:00,
2016-10-09 16:46:00,
2016-10-09 17:46:00,
2016-10-09 18:46:00,
2016-10-09 19:46:00,
2016-10-09 20:46:00,
2016-10-09 21:46:00,
2016-10-09 22:46:00,
2016-10-09 23:46:00,
2016-10-10 00:46:00,
2016-10-10 01:46:00,
2016-10-10 02:46:00,
2016-10-10 03:46:00,
2016-10-10 04:46:00,
2016-10-10 05:46:00,
2016-10-10 06:46:00,
2016-10-10 07:46:00,
2016-10-10 08:46:00,
2016-10-10 09:46:00,
2016-10-10 10:46:00,
2016-10-10 11:46:00,
2016-10-10 12:46:00,
2016-10-10 13:46:00,
2016-10-10 14:46:00,
2016-10-10 15:46:00,
2016-10-10 16:46:00,
2016-10-10 17:46:00,
2016-10-10 18:46:00,
2016-10-10 19:46:00,
2016-10-10 20:46:00,
2016-10-10 21:46:00,
2016-10-10 22:46:00,
2016-10-10 23:46:00,
2016-10-11 00:46:00,
2016-10-11 01:46:00,
2016-10-11 02:46:00,
2016-10-11 03:46:00,
2016-10-11 04:46:00,
2016-10-11 05:46:00,
2016-10-11 06:46:00,
2016-10-11 07:46:00,
2016-10-11 08:46:00,
2016-10-11 09:46:00,
2016-10-11 10:46:00,
2016-10-11 11:46:00,
2016-10-11 12:46:00,
2016-10-11 13:46:00,
2016-10-11 14:46:00,
2016-10-11 15:46:00,
2016-10-11 16:46:00,
2016-10-11 17:46:00,
2016-10-11 18:46:00,
2016-10-11 19:46:00,
2016-10-11 20:46:01,
2016-10-11 21:46:01,
2016-10-11 22:46:01,
2016-10-11 23:46:01,
2016-10-12 00:46:01,
2016-10-12 01:46:01,
2016-10-12 02:46:01,
2016-10-12 03:46:01,
2016-10-12 04:46:01,
2016-10-12 05:46:01,
2016-10-12 06:46:01,
2016-10-12 07:46:01,
2016-10-12 08:46:01,
2016-10-12 09:46:01,
2016-10-12 10:46:01,
2016-10-12 11:46:01,
2016-10-12 12:46:01,
2016-10-12 13:46:01,
2016-10-12 14:46:01,
2016-10-12 15:46:01,
2016-10-12 16:46:01,
2016-10-12 17:46:01,
2016-10-12 18:46:01,
2016-10-12 19:46:01,
2016-10-12 20:46:01,
2016-10-12 21:46:01,
2016-10-12 22:46:01,
2016-10-12 23:46:01,
2016-10-13 00:46:01,
2016-10-13 01:46:01,
2016-10-13 02:46:01,
2016-10-13 03:46:01,
2016-10-13 04:46:01,
2016-10-13 05:46:01,
2016-10-13 06:46:01,
2016-10-13 07:46:01,
2016-10-13 08:46:01,
2016-10-13 09:46:01,
2016-10-13 10:46:01,
2016-10-13 11:46:01,
2016-10-13 12:46:01,
2016-10-13 13:46:01,
2016-10-13 14:46:01,
2016-10-13 15:46:01,
2016-10-13 16:46:01,
2016-10-13 17:46:01,
2016-10-13 18:46:01,
2016-10-13 19:46:01,
2016-10-13 20:46:01,
2016-10-13 21:46:01,
2016-10-13 22:46:01,
2016-10-13 23:46:01,
2016-10-14 00:46:01,
2016-10-14 01:46:01,
2016-10-14 02:46:01,
2016-10-14 03:46:01,
2016-10-14 04:46:01,
2016-10-14 05:46:01,
